MSSV,TC1(/3),TC2(/4),TC3(/2.5),TC4(/0.5),Tổng(/10),Nhận xét ngắn
S0076,2.5,3.25,1.5,0.5,8.0,"Mục tiêu nghề nghiệp khá cụ thể (vị trí, công ty, lương, ngôn ngữ, học lên) nhưng còn thiếu quốc gia và một vài ý chưa thật rõ. Kế hoạch chuẩn bị và lộ trình có nhiều nội dung, tuy nhiên chưa đúng mốc 2/5/10 năm và thiếu rủi ro/backup plan."
S0077,2.5,3.0,2.0,0.25,8.0,"Bài nêu khá đầy đủ mục tiêu (vị trí/công ty/ngôn ngữ/quốc gia/lương/học lên) nhưng còn dàn trải, chưa chốt mục tiêu cụ thể. Phần chuẩn bị và lộ trình có nhiều ý, tuy nhiên mục tiêu năm 1-2 chưa SMART và lộ trình thiếu rủi ro/backup plan."
S0078,3.0,3.5,2.0,0.5,9.0,"Bài xác định mục tiêu nghề nghiệp khá cụ thể (vị trí, công ty, ngoại ngữ, nơi làm việc, lương, học lên) và có kế hoạch chuẩn bị theo KSA tương đối rõ. Timeline 2/5/10 năm có mốc nhưng còn thiếu phần rủi ro/backup plan và một số mục tiêu chưa thật sự đo lường chặt."
S0079,2.75,3.25,2.0,0.5,8.5,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ (vị trí/công ty/ngôn ngữ/quốc gia/lương/học lên) và có chuẩn bị theo KSA, phân biệt được học ở UIT và bên ngoài. Tuy nhiên mục tiêu năm 1-2 còn chưa thật SMART và lộ trình 2/5/10 năm chưa đề cập rủi ro/backup plan."
S0080,3.0,3.5,1.75,0.5,9.0,"Mục tiêu nghề nghiệp và kế hoạch chuẩn bị khá đầy đủ, có phân loại KSA và nêu học ở UIT/bên ngoài. Tuy nhiên lộ trình chưa đúng mốc 2/5/10 năm (đang là 2/4/10) và chưa có rủi ro/backup plan nên điểm TC3 bị trừ."
S0081,3.0,3.5,2.0,0.5,9.0,Mục tiêu nghề nghiệp nêu khá đầy đủ và có lý do rõ ràng; phần chuẩn bị có phân loại KSA và hoạt động ở UIT/bên ngoài nhưng mục tiêu năm 1-2 chưa thật SMART. Lộ trình 2/5/10 năm có mốc và kết quả nhưng thiếu rủi ro/backup plan để thuyết phục hơn.
S0082,2.5,3.0,2.0,0.25,8.0,"Bài nêu khá đầy đủ mục tiêu (vị trí, công ty, quốc gia, lương, học lên) và có mô tả công nghệ liên quan. Tuy nhiên mục tiêu năm 1-2 chưa SMART và lộ trình 2/5/10 năm còn thiếu rủi ro/backup plan, phần trình bày còn lỗi/khó đọc ở một số chỗ."
S0083,2.75,2.75,1.75,0.25,7.5,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và có định hướng rõ về vị trí/công ty/quốc gia/lương/chứng chỉ, nhưng còn thiếu phần ngôn ngữ và một số mục tiêu năm 1-2 chưa SMART. Lộ trình 2/5/10 năm có mốc thời gian nhưng chưa nêu rủi ro/backup plan và liên kết chặt với kế hoạch chuẩn bị."
S0084,3.0,3.25,1.5,0.5,8.5,"Mục tiêu nghề nghiệp khá đầy đủ và có lý do lựa chọn, phần chuẩn bị nêu nhiều nội dung và có liên hệ UIT vs tự học nhưng mục tiêu năm 1-2 chưa thật sự đo được. Lộ trình có các mốc 1-3-5+ năm khá rõ nhưng chưa bám đủ 2/5/10 năm và thiếu rủi ro/backup plan."
S0085,2.5,3.5,1.75,0.25,8.0,"Bài nêu mục tiêu khá cụ thể (Web Developer, công ty, ngoại ngữ, quốc gia, lương) và phần chuẩn bị KSA tương đối đầy đủ, có mục tiêu năm 1-2 đo được. Tuy nhiên lộ trình chưa thể hiện rõ mốc 10 năm và thiếu rủi ro/backup plan; trình bày còn nhiều lỗi chính tả/định dạng."
S0086,2.5,2.5,2.0,0.25,7.5,"Bài nêu được mục tiêu nghề nghiệp khá đầy đủ (vị trí, công ty, tiếng Anh, làm việc tại VN, mức lương) và có lộ trình 2/5/10 năm tương đối rõ. Tuy nhiên phần chuẩn bị và mục tiêu năm 1-2 còn chưa thật SMART, và lộ trình chưa có rủi ro/backup plan; trình bày còn nhiều lỗi chính tả/định dạng."
S0087,2.75,3.0,1.0,0.25,7.0,"Mục tiêu nghề nghiệp khá đầy đủ và có lý do, kế hoạch chuẩn bị có nêu KSA và mục tiêu theo năm nhưng còn thiếu tính đo lường rõ. Lộ trình chưa đúng yêu cầu 2/5/10 năm và chưa có rủi ro/backup plan."
S0088,2.75,3.0,0.75,0.25,7.0,"Mục tiêu nghề nghiệp khá đầy đủ và có lý do lựa chọn, phần chuẩn bị nêu được KSA và học ở UIT vs bên ngoài nhưng mục tiêu năm 1-2 còn chưa SMART. Lộ trình chưa đáp ứng mốc 2/5/10 năm và thiếu milestone/backup plan."
S0089,2.5,2.75,0.75,0.25,6.5,"Mục tiêu nghề nghiệp khá đầy đủ và có mức lương/ngôn ngữ/quốc gia rõ, nhưng lý do chọn mục tiêu còn ít. Kế hoạch chuẩn bị 4 năm khá chi tiết song chưa phân loại KSA và chưa có lộ trình 2/5/10 năm kèm milestone/backup plan đúng yêu cầu."
S0090,2.5,3.0,1.25,0.25,7.0,"Bài nêu mục tiêu nghề nghiệp khá rõ (Digital Marketing, Shopee, tiếng Anh, Singapore, lương) và có mô tả chuẩn bị theo KSA, nhưng mục tiêu năm 1-2 còn chung chung chưa SMART. Lộ trình chưa đủ mốc 2/5/10 năm và thiếu rủi ro/backup plan; trình bày có bố cục nhưng còn nhiều lỗi chính tả/diễn đạt."
S0091,2.75,3.25,1.25,0.5,8.0,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và có lập luận, phần chuẩn bị (KSA, học ở UIT và bên ngoài) tương đối rõ. Tuy nhiên lộ trình 2/5/10 năm và kế hoạch sau khi ra trường còn thiếu/đứt đoạn, các mục tiêu năm 1-2 chưa đủ đo lường (SMART)."
S0092,2.0,2.5,1.5,0.25,6.5,"Bài có nêu mục tiêu (BA/QL sàn, Shopee, ngôn ngữ, Singapore) nhưng còn thiếu/khá chung chung về lương và lý do; phần chuẩn bị và lộ trình có khung nhưng mục tiêu năm 1-2 chưa SMART, mốc 2/5/10 còn chung và chưa có rủi ro/backup, trình bày còn nhiều lỗi và chỗ để placeholder."
S0093,2.75,2.75,1.5,0.25,7.5,"Bài nêu khá đầy đủ mục tiêu nghề nghiệp (vị trí/công ty/ngôn ngữ/quốc gia/lương/học lên) và có lý do. Tuy nhiên phần chuẩn bị và lộ trình 2/5/10 năm còn thiếu SMART, timeline chưa rõ mốc 5/10 và chưa có phương án rủi ro/backup; trình bày còn nhiều lỗi và trùng lặp."
S0094,3.0,3.0,1.75,0.5,8.5,"Mục tiêu nghề nghiệp khá cụ thể (vị trí, công ty, ngôn ngữ, quốc gia, lương, học thêm) và có lý do rõ. Phần chuẩn bị và lộ trình có nội dung nhưng mục tiêu năm 1-2 chưa thật sự SMART, timeline chưa đúng mốc 2/5/10 và thiếu rủi ro/backup plan."
S0095,2.5,3.0,1.0,0.25,7.0,"Mục tiêu nghề nghiệp khá đầy đủ (vị trí/công ty/ngôn ngữ/quốc gia/lương/học lên) và có lý do, nhưng còn dàn trải nhiều hướng. Phần chuẩn bị có nêu KSA và mục tiêu năm 1-2, tuy nhiên lộ trình chưa đúng mốc 2/5/10 năm và thiếu rủi ro/backup plan."
S0096,3.0,3.0,2.0,0.25,8.5,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và có lý do lựa chọn; lộ trình 2/5/10 năm rõ và bám mục tiêu. Tuy nhiên mục tiêu năm 1-2 còn thiếu tính SMART và chưa nêu rủi ro/backup plan, trình bày còn nhiều lỗi ký tự/định dạng."
S0097,2.0,3.0,1.5,0.5,7.0,"Bài có mục tiêu nghề nghiệp khá rõ (hướng quản lý sàn/phát triển web, mong muốn vào Shopee/TikTok Shop) và kế hoạch chuẩn bị tương đối đầy đủ, có một vài mục tiêu đo được (TOEIC). Tuy nhiên còn thiếu các ý như quốc gia/lương/học lên, chưa có mốc 10 năm và chưa nêu rủi ro/backup plan rõ ràng."
S0098,2.0,3.0,1.0,0.25,6.5,"Bài có nội dung mục tiêu và quá trình chuẩn bị khá đầy đủ, có phân loại kiến thức/kỹ năng/thái độ và nêu học ở UIT vs bên ngoài. Tuy nhiên mục tiêu còn thiếu độ cụ thể (quốc gia/công ty/lương/định lượng), timeline chưa đúng mốc 2/5/10 năm và chưa có rủi ro/backup plan."
S0099,2.75,3.25,1.5,0.25,8.0,"Bài nêu khá đầy đủ mục tiêu (vị trí DA, công ty, ngôn ngữ, quốc gia, lương) và quá trình chuẩn bị có phân loại KSA, có học ở UIT và bên ngoài. Tuy nhiên lộ trình 2/5/10 năm còn chung chung, thiếu liên kết chặt với mục tiêu DA và chưa có rủi ro/backup plan."
S0100,2.75,2.75,2.0,0.5,8.0,"Bài nêu khá đầy đủ mục tiêu (vị trí/công ty/ngôn ngữ/quốc gia/lương/học lên) và có lập luận cơ bản, nhưng phần chuẩn bị và mục tiêu năm 1-2 còn chung chung, chưa SMART rõ ràng. Lộ trình 2/5/10 năm có milestone tương đối hợp lý nhưng thiếu rủi ro/backup plan."
S0101,2.75,3.5,2.0,0.5,9.0,"Mục tiêu nghề nghiệp khá cụ thể (vị trí, công ty, quốc gia, lương, học lên) và phần chuẩn bị KSA rõ, có mục tiêu năm 1-2 tương đối đo được. Lộ trình 2/5/10 năm có mốc và milestone hợp lý nhưng còn thiếu phần rủi ro/backup plan và một vài chỗ trình bày còn lỗi gõ/định dạng."
S0102,2.75,3.5,1.5,0.25,8.0,"Mục tiêu nghề nghiệp và quá trình chuẩn bị trình bày khá đầy đủ, có nêu vị trí, công ty/địa điểm, lương và ngoại ngữ kèm mục tiêu. Tuy nhiên lộ trình chưa bám đúng mốc 2/5/10 năm và thiếu rủi ro/backup plan; bài còn nhiều lỗi trình bày và lặp ý."
S0103,3.0,3.25,2.0,0.5,9.0,"Bài làm đầy đủ hầu hết yêu cầu và trình bày mạch lạc, mục tiêu nghề nghiệp khá cụ thể. Tuy nhiên các mục tiêu năm 1-2 và milestone 2/5/10 năm còn thiên về mô tả, chưa thật SMART và thiếu rủi ro/backup plan."
S0104,3.0,3.25,2.0,0.5,9.0,"Mục tiêu nghề nghiệp nêu khá đầy đủ và có lý do lựa chọn rõ; phần chuẩn bị có phân loại KSA và phân biệt học ở UIT/bên ngoài nhưng mục tiêu năm 1-2 còn chưa thật sự SMART. Lộ trình 2/5/10 năm có mốc và milestone tương đối hợp lý, tuy nhiên thiếu phần rủi ro/backup plan."
S0105,3.0,3.75,1.5,0.5,9.0,"Mục tiêu nghề nghiệp và kế hoạch chuẩn bị trình bày khá đầy đủ, có phân loại KSA và mục tiêu năm 1-2 tương đối đo được. Tuy nhiên lộ trình chưa đúng mốc 2/5/10 năm và thiếu rủi ro/backup plan nên điểm TC3 bị trừ."
S0106,3.0,3.5,2.0,0.5,9.0,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và cụ thể (vị trí, công ty, ngôn ngữ, quốc gia, lương, học lên). Phần chuẩn bị và lộ trình 2/5/10 năm chi tiết nhưng mục tiêu năm 1-2 chưa thật sự đo được theo SMART và chưa nêu rõ rủi ro/backup plan."
S0107,3.0,3.0,2.0,0.25,8.5,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và có giải thích hợp lý, phần chuẩn bị có KSA và phân biệt UIT/bên ngoài nhưng mục tiêu năm 1-2 chưa thật sự SMART. Lộ trình 2/5/10 năm tương đối rõ nhưng thiếu rủi ro/backup plan và trình bày còn một số lỗi/lan man."
S0108,2.75,3.75,1.25,0.5,8.5,"Bài nêu mục tiêu nghề UX/UI khá cụ thể (ngôn ngữ, mức lương, học lên) và có lý do; phần chuẩn bị KSA và mục tiêu ngắn hạn tương đối rõ. Tuy nhiên lộ trình 2/5/10 năm chưa thể hiện đầy đủ (đặc biệt giai đoạn sau đại học còn thiếu mốc, milestone và phương án dự phòng)."
S0109,2.75,3.5,2.0,0.5,9.0,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và có lộ trình 2/5/10 năm rõ ràng, chuẩn bị KSA chi tiết và bám ngành. Tuy nhiên mục tiêu còn vài chỗ chung chung/chưa lượng hóa và thiếu phần rủi ro/backup plan, trình bày còn một số lỗi chính tả."
S0110,2.75,3.25,2.0,0.5,8.5,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và có định hướng rõ (Data Analyst/Google, quốc tế, thu nhập, học chứng chỉ), kế hoạch chuẩn bị có phân loại và chia theo năm. Tuy nhiên một số mục tiêu/mốc còn hơi tham vọng và thiếu phần rủi ro/backup plan rõ ràng, mục tiêu năm 1-2 chưa thật sự SMART/đo được."
S0111,2.75,3.0,2.0,0.5,8.5,Bài nêu mục tiêu nghề nghiệp khá đầy đủ và có định hướng môi trường quốc tế rõ ràng. Phần chuẩn bị và lộ trình 2/5/10 năm tương đối hợp lý nhưng mục tiêu năm 1-2 còn thiếu tính đo lường (SMART) và chưa có rủi ro/backup plan cụ thể.
S0112,2.5,3.0,1.75,0.5,8.0,"Bài làm đầy đủ bố cục và nêu khá rõ mục tiêu (vị trí/công ty/ngôn ngữ/quốc gia/lương/học tiếp), nhưng một số mục tiêu còn liệt kê nhiều hướng và thiếu lý do cá nhân cụ thể. Phần chuẩn bị và lộ trình 2/5/10 năm có nội dung nhưng mục tiêu năm 1-2 chưa thật SMART và chưa nêu rủi ro/backup plan."
S0113,3.0,3.5,1.75,0.5,9.0,Bài nêu mục tiêu nghề nghiệp khá đầy đủ và có định hướng rõ; phần chuẩn bị có phân loại KSA và nêu học ở UIT/bên ngoài nhưng mục tiêu năm 1-2 còn chưa thật sự SMART. Lộ trình 2/5/10 năm có mốc và chiến lược nhưng thiếu phân tích rủi ro/backup plan và milestone còn chung.
S0114,2.75,3.0,1.5,0.25,7.5,"Bài làm bám đúng bố cục, mục tiêu nghề nghiệp khá đầy đủ và có lý do. Phần chuẩn bị và lộ trình còn chung chung, mục tiêu năm 1-2 chưa thật sự đo được và chưa có rủi ro/backup plan; trình bày còn nhiều lỗi diễn đạt."
S0115,2.5,3.25,1.5,0.5,8.0,"Bài có mục tiêu nghề nghiệp khá rõ (Data Analyst/Quản lý sàn TMĐT, có định hướng học thêm, ngoại ngữ) và kế hoạch chuẩn bị tương đối đầy đủ. Tuy nhiên timeline 2/5/10 năm chưa trình bày đúng mốc, thiếu liên kết milestone-kết quả và chưa có phương án dự phòng/rủi ro rõ."
S0116,2.5,3.0,1.5,0.25,7.5,"Bài nêu khá đầy đủ mục tiêu (vị trí/công ty/ngôn ngữ/quốc gia/lương/học tiếp) và có kế hoạch chuẩn bị theo KSA, nhưng nhiều mục tiêu còn chung chung, chưa SMART rõ. Lộ trình có nhiều mốc và hoạt động, tuy nhiên chưa đúng format 2/5/10 năm và thiếu phần rủi ro/backup plan."
S0117,2.75,3.5,1.5,0.25,8.0,"Mục tiêu nghề nghiệp và kế hoạch chuẩn bị (KSA, học trong/ngoài UIT, mục tiêu năm 1-2) khá đầy đủ và tương đối cụ thể. Tuy nhiên phần lộ trình chưa bám đúng mốc 2/5/10 năm và thiếu rủi ro/backup plan; trình bày còn dài và có nhiều lỗi chính tả/diễn đạt."
S0118,2.0,3.0,2.0,0.5,7.5,"Bài xác định mục tiêu nghề nghiệp khá rõ (Web Developer, định hướng thực tập Shopee) và có kế hoạch học tập/kỹ năng tương đối đầy đủ, một số mục tiêu đo được (TOEIC, điểm). Tuy nhiên còn thiếu/ít cụ thể về quốc gia, mức lương mục tiêu, học lên và chưa có phương án rủi ro/backup plan rõ cho lộ trình 2/5/10 năm."
S0119,2.5,3.0,1.25,0.25,7.0,"Mục tiêu nghề nghiệp khá đầy đủ (vị trí/công ty/ngôn ngữ/quốc gia/lương/học thêm) và phần chuẩn bị liệt kê nhiều nội dung, có phân biệt học ở UIT và bên ngoài. Tuy nhiên mốc lộ trình chưa đúng yêu cầu 2/5/10 năm, thiếu rủi ro/backup plan và các mục tiêu năm 1-2 còn chưa thật sự SMART, bài còn trùng lặp một số đoạn."
S0120,2.75,3.25,2.0,0.25,8.5,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và có kế hoạch chuẩn bị (KSA, học ở UIT vs bên ngoài) tương đối rõ. Lộ trình 2/5/10 năm có milestone hợp lý nhưng còn thiếu rủi ro/backup plan và phần trình bày còn nhiều lỗi chính tả/định dạng."
S0121,2.75,3.25,1.5,0.25,8.0,"Bài nêu khá đầy đủ mục tiêu nghề nghiệp và kế hoạch chuẩn bị (có phân loại KSA, có học ở UIT và bên ngoài), tuy nhiên các mục tiêu năm 1-2 và milestone 2/5/10 năm còn chưa thật sự SMART và thiếu rủi ro/backup plan. Trình bày có bố cục rõ nhưng còn một số đoạn diễn đạt/logic nghề (DE vs DS/DA) chưa nhất quán."
S0122,2.75,3.0,2.0,0.5,8.5,"Bài làm đầy đủ các ý về mục tiêu nghề nghiệp và có phân loại KSA, nêu được học ở UIT và bồi dưỡng bên ngoài. Tuy nhiên mục tiêu năm 1-2 và các mốc 2/5/10 năm còn thiếu chỉ số đo lường rõ ràng và chưa nêu rủi ro/backup plan."
S0123,2.75,3.25,2.0,0.5,8.5,"Bài viết bám đúng bố cục, mục tiêu nghề nghiệp khá đầy đủ và có lý do, phần chuẩn bị có phân loại KSA và nêu được học ở UIT vs bên ngoài. Tuy nhiên một số mục tiêu/milestone còn chung chung và lộ trình 2/5/10 năm chưa nêu rõ rủi ro hoặc phương án dự phòng."
S0124,3.0,3.0,1.5,0.5,8.0,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và có lý do, phần chuẩn bị có đề cập học ở UIT và bên ngoài nhưng mục tiêu năm 1-2 còn chưa thật SMART/đo được rõ. Lộ trình 2/5/10 năm còn thiếu liên kết chặt và chưa có rủi ro/backup plan (mốc 8 năm cũng chưa đúng yêu cầu 10 năm)."
S0125,3.0,3.5,2.0,0.25,9.0,"Mục tiêu nghề nghiệp khá đầy đủ và có lý do lựa chọn (vị trí, công ty, ngôn ngữ, quốc gia, lương, học lên). Kế hoạch chuẩn bị và lộ trình chi tiết nhưng mục tiêu năm 1-2 chưa thật SMART và thiếu phần rủi ro/backup plan cho mốc 2/5/10 năm."
S0126,2.75,3.25,1.5,0.25,8.0,"Bài nêu khá đầy đủ mục tiêu (vị trí, công ty, công cụ/ngôn ngữ, lương, học lên) và có lý do, phần chuẩn bị có phân loại KSA nhưng mục tiêu năm 1-2 chưa thật SMART. Lộ trình chưa đúng mốc 2/5/10 năm và thiếu rủi ro/backup plan, trình bày nhìn chung rõ nhưng còn lỗi diễn đạt/chính tả."
S0127,3.0,3.0,1.75,0.5,8.5,"Bài làm đầy đủ các ý ở mục tiêu nghề nghiệp và có phân loại KSA, nêu học ở UIT và học thêm bên ngoài khá rõ. Tuy nhiên lộ trình chưa bám đúng mốc 2/5/10 năm và thiếu rủi ro/backup plan; mục tiêu năm 1-2 còn chưa thật SMART/đo được."
S0128,2.5,3.25,2.0,0.25,8.0,"Bài nêu mục tiêu và kế hoạch chuẩn bị khá đầy đủ (có vị trí/công ty/ngôn ngữ/quốc gia), nhưng lương và định hướng học lên còn chung chung. Lộ trình 2/5/10 năm có mốc rõ, tuy nhiên thiếu phần rủi ro/backup plan và nhiều mục tiêu năm 1-2 chưa thật sự đo được (SMART)."
S0129,2.75,3.25,1.5,0.25,8.0,"Bài nêu mục tiêu nghề nghiệp khá đầy đủ và có lý do, phần chuẩn bị có phân loại KSA và chỉ ra học ở UIT vs bên ngoài. Tuy nhiên lộ trình chưa đúng mốc 2/5/10 năm và thiếu rủi ro/backup plan; mục tiêu năm 1-2 còn chưa SMART/đo được rõ ràng."
S0130,3.0,3.5,1.5,0.5,8.5,"Bài xác định mục tiêu nghề nghiệp khá đầy đủ và có lý do, phần chuẩn bị KSA và mục tiêu năm 1-2 tương đối rõ. Tuy nhiên lộ trình thời gian chưa đúng mốc 2/5/10 năm và thiếu rủi ro/backup plan nên điểm TC3 bị trừ."
S0131,2.75,3.25,1.75,0.5,8.5,"Mục tiêu nghề nghiệp khá cụ thể (vị trí, công ty, quốc gia, học lên, thu nhập) và có lý do lựa chọn; kế hoạch chuẩn bị có nêu học ở UIT và tự học nhưng mục tiêu năm 1-2 chưa thật SMART. Lộ trình có các mốc và milestone tương đối rõ nhưng chưa bám đúng 2/5/10 năm và thiếu rủi ro/backup plan cụ thể."
