MSSV,TC1(/1.5),TC2(/2),TC3(/3),TC4(/2),TC5(/1.5),Tổng(/10),Nhận xét ngắn
S0075,1.5,1.0,0.75,1.0,1.0,5.5,"Có 2 CV cho 2 vị trí rõ ràng, có mục tiêu. Tuy nhiên nội dung còn thiếu nhiều phần quan trọng (kinh nghiệm/dự án còn trống), chưa thể hiện mapping theo JD và thiếu số liệu/thành tựu; trình bày còn lỗi ký tự/format."
S0076,0.0,1.0,0.0,1.0,1.0,3.0,"Bài chỉ có 1 CV và nội dung còn thiếu các mục quan trọng (kinh nghiệm/dự án, hoạt động), nên chưa đáp ứng yêu cầu 2 CV và chưa thể hiện tuỳ biến theo JD. Trình bày và mục tiêu nghề nghiệp ở mức tạm ổn nhưng cần cụ thể hơn bằng thành tựu/số liệu và liên kết phù hợp vị trí."
S0077,1.0,0.75,0.5,0.75,0.25,3.5,"Có 2 CV cho 2 vị trí khác nhau nhưng nội dung hai CV còn rất giống nhau và thiếu nhiều mục quan trọng (mục tiêu nghề nghiệp, dự án/hoạt động, mô tả thành tựu). CV còn chung chung, chưa map rõ theo JD và trình bày bị lặp/thiếu nhất quán."
S0078,0.0,1.0,0.0,0.75,0.5,2.5,"Bài nộp chỉ có 1 CV nên chưa đạt yêu cầu 2 CV cho 2 vị trí khác nhau. Nội dung còn chung chung, thiếu mô tả thành tựu/số liệu và chưa thể hiện tùy biến theo JD; trình bày tạm ổn nhưng thông điệp nghề nghiệp còn sáo rỗng."
S0079,1.5,1.5,1.5,1.25,1.0,7.0,"Có 2 CV cho 2 vị trí (Quản lý sàn TMĐT và Phân tích dữ liệu) với mục tiêu rõ. Tuy nhiên nội dung còn chung chung, thiếu số liệu/impact và một số mục quan trọng (dự án/hoạt động), trình bày có lỗi ký tự/format và lẫn thông tin chưa phù hợp (quyền lợi)."
S0080,1.5,1.0,1.5,1.0,1.0,6.0,"Có 2 CV cho 2 vị trí (Data Analyst và Content & SEO) với mục tiêu nghề nghiệp tách bạch. Tuy nhiên nội dung còn thiếu phần dự án/kinh nghiệm/hoạt động và mapping theo JD chưa cụ thể (chưa nêu thành tựu/số liệu), đồng thời trình bày bị lỗi tách chữ/format do trích xuất."
S0081,1.5,1.5,1.75,1.25,1.0,7.0,"Có 2 CV cho 2 vị trí (Digital Marketing và UX/UI) với mục tiêu tương đối rõ. Tuy nhiên nội dung còn thiếu/ít phần kinh nghiệm-dự án và mapping theo JD chưa cụ thể (thiếu số liệu/impact), format một số chỗ bị rối và chưa nhất quán."
S0082,1.5,1.25,1.75,1.25,1.25,7.0,"Có 2 CV cho 2 vị trí khác nhau (UX/UI Designer và Content & SEO Specialist) với mục tiêu nghề nghiệp phù hợp. Tuy nhiên nội dung còn thiếu dự án/kinh nghiệm cụ thể kèm số liệu và một số lỗi trình bày/chính tả, nên mức độ “mapping CV ↔ JD” và tính chuyên nghiệp chưa đạt tối đa."
S0083,1.5,1.5,1.75,1.5,1.25,7.5,"Có 2 CV cho 2 hướng khác nhau và mục tiêu khá rõ, nội dung nền tảng tương đối đầy đủ. Tuy nhiên phần tuỳ biến theo JD/đầu ra (công cụ, thành tựu, số liệu) còn chung chung nên sức thuyết phục chưa cao."
S0084,1.5,1.5,2.0,1.5,1.25,8.0,"Có đủ 2 CV cho 2 vị trí khác nhau và có mục tiêu/tiêu đề rõ. Nội dung và trình bày khá ổn, có số liệu kết quả, nhưng còn thiếu một số mục như dự án/hoạt động nổi bật và phần mapping theo JD chưa thật cụ thể/đầy đủ ở từng yêu cầu."
S0085,1.5,1.5,1.5,1.5,1.0,7.0,"Có 2 CV cho 2 vị trí khác nhau và tiêu đề/mục tiêu thể hiện tương đối rõ. Tuy nhiên nội dung còn chung chung, thiếu số liệu/thành tựu cụ thể để map mạnh theo JD và một số phần trình bày/diễn đạt còn rối."
S0086,1.0,1.5,0.75,1.5,0.75,5.5,"Có 2 CV cho 2 vị trí nhưng nội dung gần như trùng nhau, chưa thể hiện tuỳ biến theo từng JD và thiếu thành tựu/số liệu. Trình bày tương đối ổn nhưng còn lỗi ký tự/diễn đạt và mục tiêu nghề nghiệp khá chung chung."
S0087,1.25,1.0,1.25,1.0,0.5,5.0,"Có 2 CV cho 2 vị trí (Web Developer và Data Analyst) nhưng nội dung còn chung chung, nhiều phần giống mô tả/JD copy và thiếu/không nhất quán thông tin quan trọng (mục tiêu, hoạt động, tính xác thực kinh nghiệm). Trình bày và lỗi ký tự/giãn cách làm giảm tính chuyên nghiệp, cần cụ thể hóa thành tựu và mapping theo từng yêu cầu."
S0088,1.0,1.25,0.75,1.5,1.0,5.5,"Có 2 CV với 2 title khác nhau nhưng nội dung gần như trùng lặp, chưa thể hiện tuỳ biến theo từng vị trí/JD và thiếu số liệu thành tựu. Nội dung cơ bản khá đủ nhưng có điểm chưa nhất quán (mốc thời gian kinh nghiệm) và mục tiêu còn chung chung."
S0089,1.5,1.5,2.0,1.25,1.0,7.5,"Có 2 CV tách biệt và bám 2 vị trí (Social Media Manager, E-commerce Web Developer). Nội dung khá đầy đủ nhưng còn thiếu/rụng format một số chỗ và mức độ “mapping theo JD” còn chung chung, cần bổ sung thành tựu/số liệu và liên kết portfolio/LinkedIn để thuyết phục hơn."
S0090,1.5,1.25,1.5,1.5,1.0,7.0,"Có 2 CV cho 2 vị trí (Web Developer, Data Analyst) và mục tiêu nghề nghiệp khá rõ. Tuy nhiên nội dung còn thiếu nhất quán/độ tin cậy (mốc thời gian tương lai, thông tin lặp) và phần tùy biến theo JD chưa thể hiện cụ thể (chưa nêu rõ yêu cầu–đáp ứng, số liệu/thành tựu còn ít)."
S0091,1.5,1.5,1.75,1.25,1.0,7.0,"Có đủ 2 CV cho 2 vị trí khác nhau và mục tiêu khá rõ. Tuy nhiên nội dung còn chung chung, thiếu số liệu/impact để map mạnh với JD và trình bày bị lỗi ký tự/thiếu nhất quán ở một số mục."
S0092,1.5,1.0,0.5,1.5,0.75,5.5,"Có 2 CV cho 2 vị trí khác nhau và trình bày nhìn chung ổn, nhưng nội dung còn rất mỏng (thiếu dự án/kinh nghiệm chi tiết, kỹ năng cụ thể) và chưa thể hiện tuỳ biến theo JD/impact. Mục tiêu nghề nghiệp còn chung chung, cần viết cụ thể theo từng vị trí."
S0093,1.5,1.5,1.75,1.5,1.0,7.5,"Có 2 CV cho 2 vị trí khác nhau và mục tiêu nghề nghiệp tương đối rõ. Tuy nhiên nội dung còn chung chung, thiếu số liệu/đầu ra và phần tuỳ biến theo JD chưa cụ thể; một số mốc thời gian/diễn đạt chưa nhất quán."
S0094,1.5,1.75,2.5,1.5,1.25,8.5,"Có 2 CV cho 2 vị trí khác nhau (Digital Marketing Specialist và E-commerce Specialist), nội dung khá đầy đủ và có số liệu kết quả. Tuy nhiên CV còn lỗi format/hiển thị ký tự, link Facebook chưa chuyên nghiệp và phần tuỳ biến theo từng vị trí chưa thật sự nổi bật ở một số mục."
S0095,1.5,1.0,0.75,1.0,0.75,5.0,"Có 2 CV cho 2 vị trí khác nhau nhưng nội dung còn thiếu nhiều mục (thông tin liên hệ, hoạt động/dự án rõ ràng) và mô tả kinh nghiệm còn chung chung. Cần tuỳ biến theo JD cụ thể hơn (công cụ, thành tựu, số liệu) và trình bày/diễn đạt chuyên nghiệp, súc tích hơn."
S0096,1.5,1.5,1.5,1.25,1.25,7.0,"Có đủ 2 CV cho 2 vị trí khác nhau (Data Analyst và Quản lí sản phẩm) với mục tiêu nghề nghiệp thể hiện rõ. Tuy nhiên nội dung còn thiếu/ít dự án-kinh nghiệm và thành tựu định lượng, mức độ tùy biến theo yêu cầu công việc chưa sâu; format/diễn đạt còn một số lỗi và chưa thật sự chuyên nghiệp."
S0097,1.0,0.5,0.0,0.0,0.0,1.5,"Bài có nêu 2 vị trí (Chuyên viên kinh doanh online, Quản lí sàn TMĐT) nhưng nội dung CV hầu như chưa có các mục thông tin, kỹ năng/kinh nghiệm và tuỳ biến theo JD. Cần bổ sung đầy đủ nội dung và trình bày theo mẫu CV chuyên nghiệp."
S0098,1.5,1.0,0.75,0.75,0.75,5.0,"Có đủ 2 CV cho 2 vị trí khác nhau nhưng nội dung còn thiếu/không nhất quán (mục tiêu nghề nghiệp lệch vị trí, thông tin học vấn và mô tả còn lẫn lộn) và chưa thể hiện mapping rõ ràng với JD (thiếu thành tựu/số liệu). Trình bày và ngôn ngữ còn nhiều lỗi spacing/diễn đạt, cần chuẩn hóa và cụ thể hóa kỹ năng–kinh nghiệm theo từng vị trí."
S0099,0.0,1.25,0.5,1.25,0.5,3.5,"Bài hiện chỉ có 1 CV và nội dung kinh nghiệm/thành tựu còn rất chung chung, thiếu số liệu và chưa thể hiện tuỳ biến theo JD. Cần bổ sung CV thứ hai cho vị trí khác, viết mục tiêu nghề nghiệp rõ ràng và mô tả kinh nghiệm/dự án theo kết quả cụ thể."
S0100,1.0,1.0,0.75,1.25,0.75,5.0,"Có 2 CV và có tiêu đề vị trí, nhưng nội dung còn sơ sài và chưa khác biệt rõ theo từng vị trí (mục tiêu vẫn thiên về Marketing). Mapping theo JD còn chung chung, thiếu thành tựu/số liệu và thiếu nhiều mục quan trọng (kinh nghiệm/dự án cụ thể, kỹ năng chi tiết, link chuyên nghiệp)."
S0101,1.25,1.0,0.75,1.5,1.0,5.5,"Có 2 CV cho 2 vị trí khác nhau và mục tiêu nghề nghiệp phù hợp, nhưng nội dung còn thiếu phần kinh nghiệm/dự án và thành tựu định lượng. CV vẫn khá chung chung, chưa thể hiện rõ việc mapping theo yêu cầu JD cho từng vị trí."
S0102,1.5,1.75,2.25,1.5,1.25,8.5,Có 2 CV riêng cho 2 vị trí (SPX Express và Shopee) với mục tiêu nghề nghiệp nêu rõ; nội dung khá đầy đủ và có một vài điểm định lượng (tăng doanh thu 30%). Tuy nhiên mapping theo từng yêu cầu JD chưa thật cụ thể/đủ số liệu và còn lỗi trình bày do trích xuất PDF làm giảm độ chuyên nghiệp/độ gọn câu chữ.
S0103,1.5,1.5,1.5,1.5,1.0,7.0,"Có 2 CV cho 2 vị trí khác nhau (vận hành sàn TMĐT và telesales) và nội dung cơ bản khá đầy đủ. Tuy nhiên mức độ tuỳ biến theo JD còn chung chung, thiếu số liệu/impact cụ thể và một số phần trình bày còn rối/lỗi nhỏ."
S0104,1.5,1.75,2.25,1.5,1.25,8.5,"Có 2 CV riêng cho Data Analyst và UX/UI Designer, nội dung nhìn chung đầy đủ và trình bày khá ổn. Tuy nhiên phần tùy biến theo JD còn chung chung, thiếu mô tả đầu ra/số liệu rõ ràng (đặc biệt CV UX/UI) và một số mục thời gian/hoạt động còn chưa cụ thể."
S0105,1.5,1.5,1.5,1.5,1.25,7.5,"Có 2 CV tách biệt cho 2 vị trí rõ ràng. Tuy nhiên nội dung còn khá chung, kinh nghiệm/dự án mô tả ít, thiếu thành tựu gắn JD và số liệu (đặc biệt CV quản lý sàn), một số mục trình bày/diễn đạt và link chưa chuẩn."
S0106,1.5,1.5,2.0,1.5,1.0,7.5,"Có đủ 2 CV cho 2 vị trí khác nhau (Kinh doanh Online và Phân tích dữ liệu), nội dung nền tảng khá đầy đủ và có nêu kỹ năng/công cụ liên quan. Tuy nhiên mapping theo JD còn chung, thiếu số liệu/impact và CV còn nhiều lỗi trình bày/encoding khiến trải nghiệm đọc và thông điệp nghề nghiệp chưa thật gọn, chuyên nghiệp."
S0107,1.5,2.0,2.5,1.75,1.25,9.0,"Có 2 CV cho 2 vị trí (Quản lý sàn TMĐT và Kinh doanh Online), nội dung khá đầy đủ và có số liệu minh chứng. Tuy nhiên mức độ tùy biến theo JD chưa thật sự rõ theo từng yêu cầu và hai CV còn khá giống nhau về cấu trúc/điểm nhấn."
S0108,1.5,1.5,2.0,1.5,1.0,7.5,"Có 2 CV cho 2 vị trí khác nhau (Vận hành sàn TMĐT và Digital Marketing), nội dung khá đầy đủ. Tuy nhiên phần tùy biến theo JD/impact còn thiếu số liệu cụ thể và mục tiêu nghề nghiệp còn dài, hơi chung chung."
S0109,1.5,1.5,2.0,1.5,1.25,8.0,"Có 2 CV cho 2 vị trí khác nhau (Data Analyst và E-commerce Sales Specialist) với mục tiêu nghề nghiệp rõ. Tuy nhiên mức độ tuỳ biến theo JD và minh chứng/đầu ra (số liệu, thành tựu, dự án) còn hạn chế, một số phần trình bày/diễn đạt chưa thật gọn và nhất quán."
S0110,1.5,1.25,0.75,1.0,1.0,5.5,"Có đủ 2 CV cho 2 vị trí khác nhau và mục tiêu nghề nghiệp tương đối rõ. Tuy nhiên nội dung còn thiếu phần dự án/kinh nghiệm/hoạt động và chưa thể hiện mapping theo JD (thành tựu, số liệu/impact), đồng thời còn nhiều câu chữ/diễn đạt chưa gọn và vài lỗi trình bày."
S0111,0.0,1.5,1.5,1.25,0.75,5.0,"Bài nộp chỉ thể hiện 1 CV (chưa đáp ứng yêu cầu 2 vị trí khác nhau). Nội dung khá đầy đủ nhưng trình bày còn lỗi/đúp nội dung và mục tiêu nghề nghiệp còn chung chung, thiếu số liệu thành tựu để thể hiện mức độ khớp JD."
S0112,0.0,1.5,1.5,1.25,1.0,5.5,"Bài nộp hiện thể hiện chủ yếu 1 CV/1 hướng (Digital Marketing/E-commerce), chưa có 02 CV tách biệt cho 02 vị trí rõ ràng. Nội dung cơ bản khá đầy đủ (TT cá nhân, học vấn, kỹ năng, kinh nghiệm/dự án, chứng chỉ) nhưng còn lỗi diễn đạt/chính tả và lặp phần giới thiệu. Có nêu công cụ (Google Ads/Facebook Ads/SEO/SEM/GA) và 1 số liệu tăng doanh thu 25% nhưng mức tuỳ biến theo JD chưa thể hiện rõ theo từng yêu cầu. Trình bày nhìn chung ổn nhưng chưa thật gọn/nhất quán; mục tiêu nghề nghiệp có nhưng còn dài và hơi chung."
S0113,0.0,0.75,0.0,0.5,1.0,2.5,"CV hiện chỉ thấy 1 bản và chưa thể hiện rõ tuỳ biến theo JD (thiếu dự án/kinh nghiệm, kỹ năng chuyên môn/công cụ và thành tựu có số liệu). Trình bày và thông tin liên hệ còn lỗi xuống dòng; mục tiêu nghề nghiệp có nhưng nên gọn và sát vị trí hơn."
S0114,1.5,1.25,1.0,1.0,1.0,6.0,"Có đủ 2 CV cho 2 vị trí (Web E-commerce và Mobile) và có mục tiêu nghề nghiệp. Tuy nhiên nội dung còn chung chung, thiếu minh chứng/impact theo JD và còn lỗi/placeholder + trình bày chưa nhất quán."
S0115,1.25,1.5,2.0,1.5,1.0,7.5,"Có 2 CV cho 2 hướng (quản lý sàn TMĐT và phân tích dữ liệu) và có nêu một số kết quả/impact. Tuy nhiên 2 CV còn trùng nhiều phần, mapping theo JD chưa thật cụ thể và có vài điểm thiếu nhất quán/thừa nội dung (ví dụ thông tin năm học/năm tốt nghiệp, khóa Flutter)."
S0116,1.5,1.75,1.75,1.5,1.25,8.0,"Có 2 CV tách bạch cho 2 vị trí và thông tin nền tảng khá đầy đủ, mục tiêu nghề nghiệp rõ. Tuy nhiên phần mapping theo JD còn chung chung, thiếu mô tả dự án/kinh nghiệm và số liệu kết quả để chứng minh năng lực; format nhìn ổn nhưng cần nhất quán và chuyên nghiệp hơn."
S0117,1.5,1.5,1.5,1.5,1.0,7.0,"Có 2 CV tách riêng và nêu 2 hướng (Phân tích dữ liệu, UX/UI) khá rõ. Nội dung cơ bản có liên hệ/học vấn/kỹ năng/chứng chỉ nhưng còn thiếu hoặc mờ phần dự án/kinh nghiệm/hoạt động và một số thông tin chưa hoàn chỉnh (GPA, tiếng Anh, thành tựu). Mức độ mapping theo JD mới ở mức liệt kê kỹ năng/công cụ, thiếu minh chứng, số liệu impact và mô tả đầu ra theo từng yêu cầu. Trình bày nhìn chung ổn nhưng OCR/format chưa nhất quán và còn lỗi chính tả/diễn đạt. Mục tiêu nghề nghiệp có nhưng còn chung, cần cụ thể hóa theo vị trí và thông điệp cá nhân."
S0118,1.5,1.75,2.0,1.5,1.0,8.0,"Có đủ 2 CV cho 2 vị trí khác nhau và nội dung nền tảng khá đầy đủ. Tuy nhiên mapping theo JD còn chung chung, thiếu số liệu/impact và mục tiêu nghề nghiệp còn dài, chưa thật sắc."
S0119,1.5,1.75,2.0,1.5,1.25,8.0,"Có 2 CV tách biệt rõ cho Social Media Manager và E-commerce Platform Manager, nội dung cơ bản khá đầy đủ. Tuy nhiên phần tùy biến theo yêu cầu tuyển dụng và các số liệu/đầu ra còn ít (mới nổi bật ở 1 dự án), một số đoạn mô tả còn chung chung."
S0120,1.5,1.5,2.0,1.5,1.0,7.5,"Có đủ 2 CV cho 2 vị trí (Data Analyst và E-commerce Platform Manager) và có nêu mục tiêu nghề nghiệp. Tuy nhiên nội dung còn thiếu/ít phần liên hệ (LinkedIn/portfolio), nhiều lỗi định dạng/ký tự do trích xuất và mapping theo JD còn chung chung, số liệu/impact chưa nhất quán."
S0121,0.0,1.25,0.5,1.25,0.75,4.0,"Bài hiện mới thể hiện 1 CV cho 1 vị trí, chưa đáp ứng yêu cầu 2 CV/2 vị trí. Nội dung còn thiếu phần dự án/kinh nghiệm và chưa tùy biến theo JD; cần bổ sung thành tựu có số liệu và chỉnh câu chữ/format gọn, rõ hơn."
S0122,0.0,1.5,1.0,1.0,0.75,4.5,"Bài hiện chỉ thấy 1 CV nên chưa đạt yêu cầu 2 CV cho 2 vị trí khác nhau. Nội dung có nhiều mục cơ bản và kỹ năng liên quan Web Dev nhưng còn chung chung, thiếu minh chứng/số liệu và thông tin/link trình bày chưa gọn, chưa chuyên nghiệp."
S0123,1.5,1.5,2.0,1.5,1.0,7.5,"Có 2 CV cho 2 vị trí khác nhau, mục tiêu và kỹ năng bám đúng hướng. Tuy nhiên còn lỗi trình bày/thông tin (email, khoảng trắng, timeline) và phần tùy biến theo yêu cầu công việc chưa cụ thể (thiếu số liệu/impact, dự án cho vị trí Platform Manager còn thiên về lập trình)."
