MSSV,TC1(/1.5),TC2(/2),TC3(/2.5),TC4(/2),TC5(/2),Tổng(/10),Nhận xét ngắn
S0081,1.25,0.0,1.0,0.0,1.0,3.5,"Bài chọn 2 vị trí phù hợp và có mô tả/skills cơ bản, có bổ sung xu hướng và mức lương. Tuy nhiên thiếu hoàn toàn JD có nguồn/link, phân tích yêu cầu còn liệt kê rời rạc và chưa đối chiếu CTĐT UIT để chỉ ra gap/kế hoạch bù."
S0082,1.25,0.0,1.5,0.0,1.0,4.0,"Bài chọn đủ 2 vị trí và có mô tả, phần phân tích yêu cầu có tổng hợp/tần suất nhưng còn chung chung và chưa so sánh điểm chung/khác giữa 2 vị trí. Thiếu JD/nguồn cụ thể (link, công ty, ngày truy cập) và chưa đối chiếu với CTĐT UIT để nêu gap; phần bổ sung mới chủ yếu cho Digital Marketing và thiếu nguồn."
S0083,1.25,0.75,1.75,0.0,1.0,5.0,"Bài chọn 2 vị trí phù hợp và có phần phân tích kỹ năng/xu hướng khá đầy đủ, nhưng nguồn JD thiếu link/ngày truy cập nên độ tin cậy chưa cao. Chưa có đối chiếu với CTĐT UIT và xác định gap theo học phần nên bị trừ nhiều ở tiêu chí 4."
S0084,1.25,1.0,2.0,0.75,1.25,6.5,"Bài làm chọn đúng 2 vị trí và có phần tổng hợp kỹ năng/xu hướng khá rõ, kèm tự đánh giá và kế hoạch học thêm. Tuy nhiên nguồn JD chưa có link/ngày truy cập và phần đối chiếu cụ thể với học phần/hoạt động trong CTĐT UIT còn chung chung."
S0085,1.0,0.0,1.5,0.0,0.5,3.0,"Bài chọn 2 vị trí khá phù hợp và có phân tích tần suất kỹ năng, nhưng thiếu trích dẫn JD cụ thể (link/công ty/ngày) và chưa đối chiếu với CTĐT UIT để nêu gap rõ ràng. Phần bổ sung mới có mức lương, chưa có nguồn và còn thiếu các mục như lộ trình/chứng chỉ/portfolio/xu hướng."
S0086,1.25,0.0,1.5,0.5,1.0,4.5,"Bài chọn đúng 2 vị trí và có phân tích yêu cầu/điểm phổ biến ở mức cơ bản, kèm tự đánh giá và kế hoạch. Tuy nhiên thiếu JD/nguồn tuyển dụng có link/ngày truy cập và phần đối chiếu CTĐT UIT còn chung chung, chưa nêu rõ học phần hỗ trợ."
S0087,0.0,0.0,0.0,0.0,0.0,0.0,"Nội dung trích xuất không phải bài khảo sát (chỉ là thông báo nâng cấp trình duyệt), không có 2 vị trí, JD/nguồn, phân tích, đối chiếu CTĐT hay phần khảo sát bổ sung. Vui lòng nộp lại đúng nội dung bài BT2."
S0088,1.25,1.0,1.75,0.75,1.25,6.0,"Bài làm chọn 2 vị trí phù hợp và có phân tích/tổng hợp yêu cầu khá nhiều, kèm xu hướng và kế hoạch tự học. Tuy nhiên phần JD thiếu link/ngày truy cập và chưa đối chiếu rõ với các học phần/hoạt động của CTĐT UIT nên điểm chưa tối đa."
S0089,1.25,1.25,1.75,1.0,1.25,6.5,"Bài chọn đúng 2 vị trí phù hợp và có tổng hợp/ phân tích tần suất kỹ năng khá rõ, kèm xu hướng và một số mức lương. Tuy nhiên nguồn JD thiếu link/ngày truy cập và phần đối chiếu CTĐT UIT còn chung chung, chưa nêu rõ học phần/hoạt động cụ thể và gap–kế hoạch bù chi tiết."
S0090,1.0,0.5,1.5,0.0,1.0,4.0,"Bài chọn đủ 2 vị trí và có liệt kê kỹ năng/tần suất, có bổ sung thông tin lương. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày), chưa tổng hợp so sánh 2 vị trí và chưa đối chiếu CTĐT UIT để xác định gap/kế hoạch bù rõ ràng."
S0091,1.5,0.75,2.0,0.5,1.0,6.0,"Bài chọn 2 vị trí phù hợp và có phân tích tần suất/yêu cầu khá rõ, có đề cập lương và xu hướng. Tuy nhiên thiếu JD cụ thể (link/ngày truy cập) và chưa đối chiếu rõ với CTĐT UIT để nêu gap theo học phần/hoạt động."
S0092,1.0,0.0,1.0,0.0,0.75,3.0,"Bài chọn đủ 2 vị trí và mô tả khá đầy đủ nhiệm vụ/kỹ năng, có nhắc lương và lộ trình. Tuy nhiên thiếu JD/nguồn tuyển dụng cụ thể, thiếu phân tích tổng hợp theo hướng dẫn và chưa đối chiếu CTĐT UIT để nêu gap/kế hoạch bù."
S0093,1.25,0.5,1.5,0.5,1.0,5.0,"Bài chọn đúng 2 vị trí và có tổng hợp kỹ năng/xu hướng, nhưng thiếu JD cụ thể (link/công ty/ngày truy cập) và phần đối chiếu rõ với học phần CTĐT UIT. Cần bổ sung nguồn dẫn chứng và so sánh/đối chiếu có cấu trúc hơn."
S0094,1.25,0.25,1.25,0.5,0.75,4.0,"Chọn 2 vị trí phù hợp và có mô tả/khái quát kỹ năng, nhưng thiếu JD cụ thể (link/công ty/ngày) nên chưa đạt yêu cầu khảo sát theo hướng dẫn. Phần đối chiếu CTĐT UIT và nguồn cho dữ liệu bổ sung (lương/xu hướng) còn chung chung, cần trích dẫn rõ và kế hoạch bù gap cụ thể hơn."
S0095,1.0,0.0,1.5,0.5,0.75,4.0,"Bài chọn vị trí phù hợp và có mô tả/khung khảo sát, kèm phân tích dạng tần suất kỹ năng và mức lương tham khảo. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày), đối chiếu CTĐT UIT còn rất chung chung và phần bổ sung chưa có nguồn dẫn."
S0096,1.25,0.0,1.5,0.75,0.75,4.5,"Bài chọn 2 vị trí phù hợp và có phân tích tần suất yêu cầu kỹ năng, nhưng thiếu JD/nguồn tuyển dụng cụ thể (link/công ty/ngày truy cập). Phần đối chiếu CTĐT UIT và phần bổ sung (lương/xu hướng/chứng chỉ/portfolio) còn chung chung và thiếu nguồn."
S0097,1.25,0.5,1.75,0.0,1.0,4.5,"Bài chọn 2 vị trí hợp lý và có tổng hợp kỹ năng/tần suất khá tốt. Tuy nhiên thiếu nguồn JD cụ thể (link/ngày), chưa đối chiếu CTĐT UIT để nêu gap, và phần bổ sung (lương/xu hướng/chứng chỉ) còn thiếu dẫn nguồn."
S0098,1.5,0.0,1.5,0.0,1.0,4.0,"Chọn 2 vị trí phù hợp và có tổng hợp yêu cầu/kỹ năng khá rõ, có thêm thông tin lương và lộ trình. Tuy nhiên bài thiếu JD cụ thể kèm link/công ty/ngày truy cập và chưa đối chiếu với CTĐT UIT để nêu gap/kế hoạch bù chi tiết."
S0099,1.25,0.0,1.5,0.0,0.75,3.5,"Bài chọn đủ 2 vị trí và có phân tích/tần suất kỹ năng tương đối rõ, kèm tự đánh giá và kế hoạch phát triển. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày) và chưa đối chiếu với CTĐT UIT để nêu gap theo học phần; phần bổ sung (lương/xu hướng) còn ít và thiếu nguồn."
S0100,1.0,0.0,1.25,0.0,1.0,3.5,"Bài có 2 vị trí và có tổng hợp một số yêu cầu/kỹ năng và mức lương, nhưng thiếu JD cụ thể (link/công ty/ngày) và phân tích chưa có tổng hợp điểm chung/khác. Chưa đối chiếu với CTĐT UIT để nêu gap và kế hoạch bù chi tiết."
S0101,1.0,0.5,1.75,0.0,1.0,4.5,"Bài chọn đúng 2 vị trí và có phân tích yêu cầu/tổng hợp xu hướng khá rõ, nhưng thiếu JD cụ thể (link/công ty/ngày truy cập) và chưa đối chiếu với CTĐT UIT để chỉ ra gap theo học phần. Phần bổ sung lương/xu hướng có nêu nhưng thiếu nguồn dẫn nên chưa thuyết phục."
S0102,1.25,0.0,1.0,0.0,1.0,3.5,"Bài chọn đủ 2 vị trí và mô tả/khảo sát thêm (lương, xu hướng) ở mức cơ bản. Tuy nhiên thiếu phần JD có nguồn/link cụ thể cho từng vị trí, phân tích yêu cầu chưa theo cấu trúc/tổng hợp, và chưa đối chiếu CTĐT UIT để nêu gap & kế hoạch bù."
S0103,1.25,0.0,1.5,0.75,1.0,4.5,"Bài chọn đúng 2 vị trí và có mô tả kỹ năng/lương khá đầy đủ, có tự tổng hợp tần suất. Tuy nhiên thiếu hoàn toàn JD/nguồn tuyển dụng (link/công ty/ngày), và phần đối chiếu CTĐT UIT còn chung chung, chưa chỉ rõ học phần/hoạt động cụ thể."
S0104,1.0,0.0,1.25,0.0,0.75,3.0,"Bài chọn đủ 2 vị trí và có mô tả, nhưng thiếu minh chứng JD/nguồn cụ thể (link, công ty, ngày) nên các phần sau chưa thuyết phục. Phân tích còn chung chung và chưa đối chiếu với CTĐT UIT để chỉ ra gap/kế hoạch bù rõ ràng; phần lương có nêu nhưng thiếu nguồn."
S0105,1.0,0.0,1.5,0.0,1.0,3.5,"Bài chọn đủ 2 vị trí và có phân tích kỹ năng/công cụ khá có cấu trúc, kèm kế hoạch tự học. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày truy cập), chưa đối chiếu với CTĐT UIT và phần bổ sung (lương/xu hướng/nguồn) còn thiếu dẫn chứng."
S0106,1.5,1.0,1.5,0.5,1.0,5.5,"Bài chọn 2 vị trí phù hợp và có mô tả/khảo sát tổng quan, có một số phân tích tần suất kỹ năng và kế hoạch phát triển. Tuy nhiên thiếu JD/link/công ty/ngày truy cập cụ thể cho từng vị trí và phần đối chiếu CTĐT UIT + gap còn chung chung."
S0107,1.0,0.0,1.5,0.5,1.0,4.0,"Bài chọn được 2 vị trí liên quan và có phân tích yêu cầu/kỹ năng khá nhiều, kèm mức lương tham khảo. Tuy nhiên thiếu JD có nguồn/link cụ thể và phần đối chiếu học phần UIT + gap còn chung chung."
S0108,1.25,0.5,1.5,0.5,1.0,5.0,"Bài chọn 2 vị trí phù hợp và có tổng hợp kỹ năng/tần suất khá ổn, có nêu mức lương và hướng phát triển. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày truy cập) và chưa đối chiếu rõ với học phần/hoạt động trong CTĐT UIT nên điểm bị trừ nhiều."
S0109,1.0,0.0,1.5,0.0,1.0,3.5,"Chọn 2 vị trí phù hợp và có phân tích yêu cầu/kỹ năng ở mức liệt kê kèm tần suất, có thêm thông tin lương. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày), chưa đối chiếu rõ với CTĐT UIT và chưa có nguồn cho phần bổ sung."
S0110,1.25,1.25,2.0,0.5,1.25,6.5,"Bài làm chọn đúng 2 vị trí và có tổng hợp/ phân tích yêu cầu kỹ năng khá rõ, kèm xu hướng. Tuy nhiên phần JD thiếu link/ngày truy cập và phần đối chiếu với CTĐT UIT chưa chỉ ra học phần cụ thể và gap/kế hoạch bù còn chung."
S0111,1.0,1.0,1.5,0.75,1.0,5.5,"Bài có khảo sát 2 vị trí và có tổng hợp kỹ năng/xu hướng, kèm một số thông tin lương. Tuy nhiên thiếu nguồn/link & ngày truy cập cho JD, phân tích chưa theo cấu trúc hard/soft/tools và phần đối chiếu CTĐT UIT còn chung chung."
S0112,1.5,0.5,1.5,0.0,1.0,4.5,"Bài chọn 2 vị trí phù hợp và có tổng hợp yêu cầu/tần suất kỹ năng, kèm lương và xu hướng. Tuy nhiên thiếu JD cụ thể có link/nguồn cho từng vị trí và chưa đối chiếu rõ với CTĐT UIT để nêu gap theo học phần."
S0113,1.25,0.5,1.75,1.0,1.25,6.0,"Bài chọn 2 vị trí và có phân loại kỹ năng/xu hướng khá rõ, kèm tự đánh giá và kế hoạch học thêm. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày truy cập) cho từng vị trí và phần đối chiếu với các học phần/hoạt động của CTĐT UIT còn chung chung."
S0114,1.25,0.0,0.5,0.0,0.5,2.5,"Bài chọn đủ 2 vị trí và mô tả tương đối phù hợp, nhưng chưa thu thập JD/nguồn tuyển dụng cụ thể nên phần phân tích và tổng hợp yêu cầu còn chung chung. Chưa có đối chiếu CTĐT UIT và phần bổ sung lương/xu hướng thiếu nguồn, lại minh hoạ bằng vị trí khác với 2 vị trí đã chọn."
S0115,1.5,0.5,1.5,0.5,1.0,5.0,"Bài chọn đúng 2 vị trí và có mô tả nhiệm vụ, có liệt kê kỹ năng/công cụ và kế hoạch học thêm. Tuy nhiên phần JD/nguồn còn thiếu link-ngày truy cập và chưa đối chiếu cụ thể với các học phần/hoạt động của CTĐT UIT; phần bổ sung (lương/xu hướng/chứng chỉ/portfolio) còn ít và thiếu nguồn."
S0116,1.5,0.0,0.75,0.0,1.0,3.5,"Chọn 2 vị trí phù hợp và có mô tả/lý do tương đối rõ. Tuy nhiên bài thiếu JD/nguồn cụ thể, phần phân tích yêu cầu còn chung chung và chưa đối chiếu CTĐT UIT để nêu gap/kế hoạch bù."
S0117,1.5,0.0,1.5,0.0,1.0,4.0,"Chọn 2 vị trí phù hợp và có mô tả/khảo sát khá đầy đủ, có thống kê tần suất và nêu xu hướng. Tuy nhiên bài thiếu JD cụ thể (link/công ty/ngày), chưa đối chiếu với CTĐT UIT và phần lương/xu hướng chưa kèm nguồn rõ ràng."
S0118,1.25,0.0,1.0,0.0,1.0,3.5,"Bạn chọn 2 vị trí khá phù hợp và mô tả được nhiệm vụ/kỹ năng, có bổ sung lương & xu hướng. Tuy nhiên bài thiếu phần JD/nguồn tuyển dụng có link cụ thể, chưa phân tích/tổng hợp theo hướng dẫn và chưa đối chiếu CTĐT UIT để nêu gap + kế hoạch bù."
S0119,1.0,0.5,1.5,0.0,1.0,4.0,"Bài có khảo sát và liệt kê yêu cầu/kỹ năng cho 2 vị trí khá đầy đủ, có tần suất kỹ năng và một số thông tin lương/portfolio. Tuy nhiên thiếu JD cụ thể có link/công ty/ngày truy cập và chưa đối chiếu rõ với CTĐT UIT để nêu gap và kế hoạch bù chi tiết."
S0120,1.25,0.0,1.25,0.0,0.75,3.5,"Bài chọn đúng 2 vị trí liên quan TMĐT và có tổng hợp yêu cầu kỹ năng, kèm mức lương tham khảo. Tuy nhiên thiếu JD/nguồn cụ thể (link, công ty, ngày truy cập) và chưa đối chiếu với CTĐT UIT để chỉ ra gap theo học phần/kế hoạch bù rõ ràng."
S0121,1.25,0.0,1.0,0.0,1.25,3.5,"Bài chọn 2 vị trí khá phù hợp và có bổ sung lương/xu hướng, nhưng thiếu phần JD cụ thể theo yêu cầu (link/nguồn/ngày) và chưa đối chiếu CTĐT UIT để nêu gap + kế hoạch bù. Phân tích yêu cầu tuyển dụng còn thiên về liệt kê, thiếu tổng hợp/so sánh theo cấu trúc."
S0122,1.0,0.5,1.5,0.0,1.0,4.0,"Bài chọn đúng 2 vị trí và có mô tả/nhận xét, có thống kê tần suất yêu cầu từ tin tuyển dụng nhưng thiếu JD cụ thể (link/công ty/ngày) và thiếu tổng hợp so sánh rõ ràng. Chưa đối chiếu với CTĐT UIT để chỉ ra học phần liên quan và khoảng trống kỹ năng; phần bổ sung xu hướng có nhưng chưa có nguồn dẫn."
S0123,1.25,0.5,1.5,0.75,0.75,5.0,"Bài chọn 2 vị trí phù hợp và có phân tích kỹ năng/xu hướng ở mức khá, kèm tự đánh giá và kế hoạch phát triển. Tuy nhiên thiếu JD cụ thể (link/công ty/ngày truy cập), đối chiếu với CTĐT UIT còn chung chung và phần bổ sung (lương/portfolio/chứng chỉ/xu hướng) thiếu nguồn dẫn rõ ràng."
S0124,1.0,1.0,1.5,0.0,1.0,4.5,"Bài chọn đủ 2 vị trí và có tổng hợp yêu cầu kỹ năng/tần suất, kèm một số thông tin lương và xu hướng. Tuy nhiên thiếu link/ngày truy cập JD và chưa đối chiếu cụ thể với CTĐT UIT để chỉ ra gap và kế hoạch bù phù hợp."
S0125,0.75,1.0,1.75,0.0,0.75,4.5,"Bài có tổng hợp khá tốt yêu cầu/kỹ năng và xu hướng cho vị trí Digital Marketing, nhưng chưa hoàn thành yêu cầu 2 vị trí và thiếu link/ngày truy cập JD. Chưa đối chiếu với CTĐT UIT để chỉ ra học phần hỗ trợ, gap và kế hoạch bù cụ thể."
S0126,1.0,0.5,1.25,0.0,0.75,3.5,"Bài chọn 2 vị trí khá phù hợp và có liệt kê yêu cầu/kỹ năng, nhưng phần JD/nguồn tuyển dụng thiếu link/công ty/ngày truy cập và phân tích còn thiên về liệt kê. Chưa có đối chiếu với CTĐT UIT và kế hoạch bù gap; phần bổ sung (lương/xu hướng) có nhưng chưa kèm nguồn."
S0127,1.25,1.0,1.5,0.5,1.0,5.5,"Bài chọn 2 vị trí phù hợp và có tổng hợp kỹ năng/xu hướng, nhưng phần JD thiếu link/ngày truy cập và phân tích còn chưa đối chiếu rõ với CTĐT UIT (học phần/hoạt động) để xác định gap. Riêng phần vị trí Product Manager có đoạn tổng hợp bị lệch sang chuỗi cung ứng nên cần chỉnh lại cho đúng mục tiêu."
S0128,1.25,0.5,1.5,0.0,1.0,4.5,"Bài chọn 2 vị trí và trình bày khá nhiều nội dung, có một số tổng hợp (đặc biệt phần UX/UI có thống kê tần suất). Tuy nhiên thiếu JD/nguồn tuyển dụng cụ thể (link/công ty/ngày truy cập) và chưa đối chiếu với CTĐT UIT để chỉ ra gap kỹ năng và kế hoạch bù rõ ràng; phần lương/xu hướng cũng thiếu nguồn."
S0129,1.25,0.5,1.25,0.0,0.75,4.0,"Bài chọn đúng 2 vị trí và có tổng hợp kỹ năng, lương tham khảo nhưng thiếu nguồn JD (link/công ty/ngày truy cập) và phân tích/so sánh theo cấu trúc còn rời rạc. Chưa có phần đối chiếu với CTĐT UIT để chỉ ra học phần hỗ trợ, gap và kế hoạch bù cụ thể."
