MSSV,TC1(/2),TC2(/2),TC3(/2),TC4(/2),TC5(/2),Tổng(/10),Nhận xét ngắn
S0082,1.0,1.5,1.25,1.25,0.75,6.0,"Bài trả lời khá đầy đủ ở các câu 1–10 và 12–13, nhưng thiếu dẫn nguồn/link theo yêu cầu. Câu 8 chưa nêu rõ chuẩn TA khóa 2024 và câu 11 bỏ trống; phần nền tảng học trực tuyến/các nguồn báo cáo–tạp chí còn chung chung và thiếu nguồn."
S0083,1.25,1.25,1.5,1.0,1.5,6.5,"Bài làm trả lời khá đầy đủ nhiều câu và có ví dụ minh họa, nhưng hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở các tiêu chí. Phần liệt kê học phần (CNTT & nghiệp vụ cốt lõi) còn thiếu nhiều môn và chưa bám đầy đủ CTĐT."
S0084,1.5,1.5,1.5,1.0,1.25,7.0,"Bài trả lời khá đầy đủ và đúng hướng cho nhiều câu, nhưng hầu như thiếu dẫn nguồn/link theo yêu cầu rubric. Phần liệt kê học phần (CNTT và nghiệp vụ cốt lõi) còn thiếu nhiều môn và trình bày chưa rõ ràng."
S0085,1.0,1.25,1.5,1.0,1.25,6.0,"Bài trả lời khá đầy đủ các câu và có cấu trúc, ví dụ tương đối ổn. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và một số phần còn thiếu/chưa chuẩn (mục tiêu UIT, liệt kê học phần và nền tảng học trực tuyến)."
S0086,1.5,1.5,1.5,1.25,1.0,7.0,"Bài trả lời khá đầy đủ và đúng trọng tâm nhiều câu, đặc biệt phần mục tiêu/chuẩn đầu ra và cơ hội nghề nghiệp. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và một số mục (danh sách học phần, nguồn báo cáo/tạp chí) còn thiếu cụ thể hoặc chưa thật sự bám CTĐT/nguồn uy tín."
S0087,1.5,1.5,1.25,1.25,1.25,7.0,"Bài làm trả lời khá đầy đủ các câu hỏi và có nội dung bám CTĐT, nhưng hầu như không có dẫn nguồn/link nên bị trừ điểm ở nhiều tiêu chí; phần liệt kê học phần và các nguồn học/báo cáo còn lẫn lộn, chưa chọn lọc."
S0088,1.25,1.25,1.5,1.0,1.75,7.0,"Bài trả lời khá đầy đủ và diễn giải rõ, đặc biệt phần nền tảng học/báo cáo/tạp chí có nhiều link. Tuy nhiên các nhóm nội dung về UIT/CTĐT/chuẩn đầu ra và danh sách học phần còn thiếu dẫn nguồn chính thống (UIT/daa.uit.edu.vn) và phần liệt kê học phần chưa đối chiếu đúng CTĐT nên bị trừ điểm."
S0089,1.5,1.25,1.5,1.25,1.5,7.0,"Bài trả lời khá đầy đủ và có cấu trúc, nhiều ý đúng trọng tâm. Tuy nhiên hầu như không có dẫn nguồn/link chính thức theo yêu cầu và một số phần liệt kê học phần/chuẩn đầu ra còn thiếu hoặc chưa cụ thể."
S0090,1.0,1.5,1.25,1.25,1.5,6.5,"Bài trả lời khá đầy đủ và có cấu trúc, nhiều ý đúng trọng tâm. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu, và Câu 8 về chuẩn tiếng Anh khóa 2024 chưa nêu rõ chuẩn/điểm cụ thể nên bị trừ điểm."
S0091,1.5,1.5,1.5,1.0,1.5,7.0,"Bài trả lời khá đầy đủ hầu hết câu hỏi và có diễn giải, tuy nhiên thiếu dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở các tiêu chí. Nhóm liệt kê học phần còn mang tính chung chung, chưa bám sát CTĐT và phân nhóm chưa rõ."
S0092,1.0,1.25,1.5,1.25,1.0,6.0,"Bài trả lời khá đầy đủ nội dung các câu, nhưng hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở nhiều tiêu chí. Một số phần (mục tiêu UIT, nguồn học/báo cáo/tạp chí) còn chưa chuẩn xác hoặc chưa bám đúng dạng nguồn uy tín."
S0093,1.5,1.5,1.5,1.0,1.25,7.0,"Bài trả lời khá đầy đủ và có cấu trúc, nhiều ý đúng trọng tâm. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và phần liệt kê học phần (CNTT & nghiệp vụ) còn thiếu nhiều so với CTĐT."
S0094,1.5,1.75,1.75,0.75,1.25,7.0,"Bài trả lời khá đầy đủ và đúng trọng tâm ở các câu về mục tiêu/CĐR và cơ hội nghề nghiệp, tuy nhiên hầu như không có dẫn nguồn link theo yêu cầu. Phần liệt kê học phần (Câu 9-10) còn lẫn lộn CNTT–nghiệp vụ và thiếu/ghi sai nhiều môn nên bị trừ điểm."
S0095,1.25,1.0,1.5,1.0,1.5,6.5,"Bài trả lời khá đầy đủ nội dung các câu và có ví dụ minh họa, tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu rubric nên bị trừ điểm ở hầu hết tiêu chí. Một số ý/môn học còn mang tính liệt kê chung, cần bám sát CTĐT và trích nguồn UIT/daa cho từng ý chính."
S0096,1.5,1.5,1.5,1.0,1.0,6.5,"Bài trả lời khá đầy đủ nhiều câu và có diễn giải, nhưng hầu như không có dẫn nguồn/link theo yêu cầu. Một số câu còn thiếu/không rõ cấu trúc (đặc biệt Câu 9-10 và Câu 16), cần bổ sung theo CTĐT và trích nguồn UIT/daa.uit.edu.vn."
S0097,1.25,1.5,1.5,1.25,1.5,7.0,"Bài trả lời khá đầy đủ và đúng trọng tâm ở hầu hết câu hỏi, có liệt kê/diễn giải rõ. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và phần liệt kê học phần còn lẫn/thiếu phân nhóm thật gọn nên bị trừ điểm."
S0098,0.5,1.5,1.0,1.0,0.75,5.0,"Bài có nội dung khá đầy đủ ở mục tiêu/CĐR ngành và mô tả việc làm, nhưng thiếu dẫn nguồn link theo yêu cầu và nhiều câu trả lời chưa đúng trọng tâm hoặc còn bỏ trống (đặc biệt Câu 6, chuẩn TA, danh sách học phần CNTT, nguồn tạp chí/kỷ yếu)."
S0099,1.25,1.25,1.5,1.0,1.0,6.0,"Bài trả lời khá đầy đủ nhiều câu và có ví dụ nghề nghiệp, nhưng hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm. Phần liệt kê học phần và một số mục nhóm 5 còn thiếu/chưa bám chặt CTĐT và phân nhóm chưa rõ."
S0100,1.25,1.25,1.5,1.0,0.75,6.0,"Nội dung nhiều câu trả lời khá đúng và có cấu trúc, đặc biệt phần mục tiêu/CĐR và định hướng việc làm. Tuy nhiên bài thiếu dẫn nguồn UIT/daa cho hầu hết các ý và Câu 11 bỏ trống, một số liệt kê môn học và nguồn tham khảo chưa đầy đủ/độ tin cậy chưa cao."
S0101,1.25,1.5,1.5,1.0,1.5,7.0,"Bài làm khá đầy đủ nội dung các câu, diễn đạt tương đối rõ và có ví dụ. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và phần liệt kê học phần (đặc biệt khối CNTT) còn thiếu tên môn/phân nhóm chưa thuyết phục."
S0102,1.5,1.5,1.5,1.25,1.25,7.0,"Bài trả lời khá đầy đủ các câu và nhìn chung đúng nội dung, nhưng hầu như không có dẫn nguồn/link nên chưa đạt tối đa. Một số phần liệt kê học phần và nguồn học/báo cáo còn thiếu và chưa cụ thể."
S0103,1.0,1.5,1.25,1.25,1.0,6.0,"Bài làm có nội dung khá đầy đủ ở nhiều câu và liệt kê được nhiều ý quan trọng, nhưng hầu như thiếu dẫn nguồn/link theo yêu cầu. Câu 8 chưa trả lời rõ ràng và một số nguồn/đề xuất (ví dụ baomoi, PubMed) chưa phù hợp hoặc chưa đủ uy tín cho TMĐT."
S0104,1.25,1.25,1.5,0.75,0.75,5.5,"Bài trả lời khá đầy đủ nhiều câu và có mô tả/chuẩn đầu ra, nhưng hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở nhiều tiêu chí. Phần liệt kê học phần còn thiếu tên môn và nhóm 5 thiếu một số ý (câu 13, khối 12TC) và có nguồn chưa phù hợp/không đủ uy tín."
S0105,1.0,1.5,1.5,1.25,1.25,6.5,"Bài trả lời khá đầy đủ các câu và có cấu trúc, tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở nhiều tiêu chí. Cần bổ sung nguồn UIT/daa.uit.edu.vn và liệt kê học phần theo CTĐT đầy đủ, phân nhóm rõ hơn."
S0106,1.25,1.25,1.25,1.0,1.0,6.0,"Bài trả lời khá đầy đủ các câu và có cấu trúc, nhưng hầu như không có dẫn nguồn/link theo yêu cầu rubric. Một số mục còn chung chung/thiếu chi tiết (điều kiện tốt nghiệp, liệt kê học phần và nguồn tạp chí/báo cáo), cần bổ sung trích dẫn từ UIT/daa.uit.edu.vn."
S0107,1.25,1.5,1.5,0.5,1.25,6.0,"Bài trả lời khá đầy đủ nhiều câu và diễn giải ổn, nhưng hầu hết các ý quan trọng thiếu dẫn nguồn/link theo yêu cầu. Phần liệt kê học phần (đặc biệt Câu 9) còn thiếu và Câu 10 nêu khá chung, chưa bám rõ CTĐT."
S0108,1.0,1.0,1.0,1.0,1.0,5.0,Bài trả lời khá đầy đủ ý chính nhưng hầu như không có dẫn nguồn/link theo yêu cầu rubric và một số nội dung còn chung chung hoặc chưa chính xác (đặc biệt phần điều kiện tốt nghiệp/khối kiến thức tốt nghiệp). Cần bám sát CTĐT và liệt kê học phần/nguồn tham khảo cụ thể hơn.
S0109,1.5,1.5,1.5,1.5,1.5,7.5,"Bài làm nhìn chung trả lời đủ các nhóm nội dung và trình bày khá rõ. Tuy nhiên hầu hết phần trích dẫn chỉ ghi tên nguồn/quyết định mà thiếu link cụ thể (và một số ý còn diễn giải chung), nên bị trừ điểm ở các tiêu chí liên quan."
S0110,1.25,1.5,1.75,1.25,1.25,7.0,"Bài trả lời khá đầy đủ nội dung các câu, có diễn giải và liệt kê ví dụ. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở hầu hết tiêu chí và một số liệt kê học phần/nguồn tham khảo còn chưa chắc khớp CTĐT hoặc chưa thật uy tín/cụ thể."
S0111,1.25,1.25,1.5,1.25,1.75,7.0,"Bài trả lời khá đầy đủ và diễn giải tốt, đặc biệt các câu 16-18 có nhiều nguồn link cụ thể. Tuy nhiên phần lớn các nhóm 1-4 thiếu dẫn nguồn chính thống theo yêu cầu và danh sách học phần (câu 9-10) còn lẫn/thiếu và phân nhóm chưa thật chuẩn."
S0112,1.25,1.5,1.5,1.25,1.5,7.0,"Bài trả lời khá đầy đủ nội dung các câu và có ví dụ minh họa, nhưng hầu như không có dẫn nguồn/link UIT/daa.uit.edu.vn/CTĐT 2024 cho các ý chính nên bị trừ điểm ở nhiều tiêu chí. Một số phần trình bày còn lẫn nội dung (đặc biệt quanh Câu 7) và phân nhóm học phần CNTT vs nghiệp vụ chưa thật rõ."
S0113,1.25,1.5,1.5,1.0,1.25,6.5,"Bài trả lời khá đầy đủ và có nhiều diễn giải/ví dụ, tuy nhiên hầu như thiếu dẫn nguồn link theo yêu cầu nên bị trừ điểm ở nhiều tiêu chí. Phần liệt kê học phần (nhất là khối CNTT) còn thiếu tên môn và chưa bám rõ CTĐT."
S0114,1.0,1.5,1.5,1.5,1.5,7.0,"Bài trả lời khá đầy đủ và có cấu trúc, nội dung nhìn chung bám câu hỏi. Tuy nhiên hầu hết các phần thiếu dẫn nguồn/link chính thống theo yêu cầu (UIT/daa/CTĐT), và một vài ý còn chung chung hoặc dễ nhầm giữa mục tiêu UIT và mục tiêu CTĐT ngành."
S0115,1.25,1.0,1.75,1.25,1.25,6.5,"Bài trả lời khá đầy đủ nhiều câu và có một số nguồn tham khảo, nhưng phần (1-2) thiếu dẫn nguồn UIT cho từng ý và (11) còn bỏ trống/không trình bày rõ ràng. Một số mục liệt kê học phần và ví dụ/nguồn ở nhóm 4-5 còn thiếu hoặc chưa bám sát CTĐT và độ tin cậy nguồn."
S0116,1.25,1.25,1.5,0.75,1.25,6.0,"Bài trả lời khá đầy đủ các ý và diễn đạt rõ, nhưng thiếu dẫn nguồn/link cho hầu hết nội dung. Phần liệt kê học phần (CNTT & nghiệp vụ cốt lõi) còn mang tính chung chung và chưa bám sát CTĐT nên bị trừ điểm."
S0117,1.25,1.0,1.5,1.0,1.25,6.0,"Bài trả lời khá đầy đủ nhiều câu và có ví dụ nghề nghiệp/nền tảng học, nhưng hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở đa số tiêu chí. Danh sách học phần CNTT và nghiệp vụ TMĐT còn mang tính liệt kê chung, chưa bám rõ CTĐT."
S0118,1.5,1.5,1.25,1.0,1.25,6.5,"Bài trả lời khá đầy đủ và có cấu trúc, đặc biệt các phần mục tiêu/chuẩn đầu ra và vị trí việc làm. Tuy nhiên hầu như không có dẫn nguồn link theo yêu cầu và một số thông tin còn thiếu/không nhất quán (ví dụ tín chỉ tối thiểu 125 vs điều kiện tốt nghiệp 126), danh sách học phần còn thiếu nhiều."
S0119,1.0,1.5,1.5,1.25,1.25,6.5,"Bài trả lời khá đầy đủ và có cấu trúc, nhiều nội dung đúng trọng tâm. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và một số phần liệt kê học phần (khối CNTT) còn thiếu nhiều."
S0120,1.5,1.5,1.25,1.0,1.0,6.5,"Bài trả lời khá đầy đủ các câu nhưng hầu như không có dẫn nguồn/link theo yêu cầu. Nhiều phần (chuẩn TA, danh sách học phần, nguồn tạp chí/báo cáo) còn chung chung, chưa bám sát CTĐT và chưa cụ thể."
S0121,1.25,1.25,1.5,1.0,1.0,6.0,"Bài trả lời khá đầy đủ nhiều câu và có một số ví dụ/nguồn ở phần báo cáo & tạp chí, nhưng đa số các ý quan trọng còn thiếu dẫn nguồn chính thống (UIT/daa.uit) và Câu 11 bị bỏ trống. Cần đối chiếu lại CTĐT để liệt kê học phần đúng và phân nhóm rõ ràng hơn."
S0122,1.25,1.5,0.75,1.0,1.0,5.5,Bài trả lời khá đầy đủ nhiều ý nhưng hầu như không có dẫn nguồn/link theo yêu cầu. Nhóm câu 5-8 còn thiếu chuẩn tiếng Anh và có thông tin tín chỉ/điều kiện tốt nghiệp chưa nhất quán.
S0123,1.0,1.25,1.25,1.0,1.0,5.5,Bài trả lời có nội dung cho hầu hết câu hỏi nhưng thiếu dẫn nguồn/link theo yêu cầu và một số ý còn chung chung/thiếu chính xác (đặc biệt phần khối kiến thức tốt nghiệp 12TC). Cần bổ sung trích dẫn từ trang UIT/daa.uit.edu.vn và liệt kê học phần/ý cụ thể hơn.
S0124,1.5,1.5,1.25,0.75,1.5,6.5,"Bài trả lời khá đầy đủ và có diễn giải, đặc biệt phần mục tiêu/chuẩn đầu ra và kỹ năng mềm. Tuy nhiên hầu như không có dẫn nguồn link theo yêu cầu; phần liệt kê học phần CNTT & nghiệp vụ cốt lõi còn thiếu nhiều và chưa bám sát CTĐT."
S0125,1.0,1.25,1.25,1.0,0.75,5.5,"Bài trả lời khá đầy đủ các câu và có cấu trúc, nhưng hầu như không có dẫn nguồn/link theo yêu cầu rubric. Một số ý còn chung chung hoặc thiếu chi tiết quan trọng (đặc biệt chuẩn TA 2024 và mục nguồn tạp chí/kỷ yếu uy tín)."
S0126,1.25,1.5,1.25,1.25,1.25,6.5,"Bài trả lời khá đầy đủ và diễn giải ổn ở nhiều câu, nhưng hầu như thiếu dẫn nguồn/link theo yêu cầu. Câu 8 còn chưa hoàn thiện và một số nguồn/đầu mục ở phần 17-18 chưa đủ độ tin cậy hoặc liệt kê còn chung chung."
S0127,1.25,1.5,1.5,1.25,1.25,7.0,"Trả lời khá đầy đủ và có cấu trúc, nội dung nhìn chung bám câu hỏi. Tuy nhiên hầu hết các ý chưa có dẫn nguồn/link theo yêu cầu rubric và danh sách học phần còn thiếu so với CTĐT."
S0128,1.0,1.0,1.5,1.0,1.5,6.0,"Bài trả lời khá đầy đủ nội dung và có ví dụ/diễn giải tốt, đặc biệt phần nghề nghiệp và các nguồn học/báo cáo. Tuy nhiên đa số câu (nhất là nhóm UIT, mục tiêu & CĐR ngành, điều kiện tốt nghiệp/chuẩn TA, CTĐT các học phần) thiếu link nguồn chính thống theo yêu cầu nên bị trừ điểm."
S0129,1.25,1.5,1.75,1.0,1.25,7.0,"Bài trả lời khá đầy đủ nhiều câu và diễn đạt ổn, đặc biệt nhóm việc làm/tín chỉ/điều kiện tốt nghiệp. Tuy nhiên hầu như không có dẫn nguồn (link) và phần liệt kê học phần còn mang tính chung chung, dễ lệch so với CTĐT."
S0130,1.5,1.25,1.5,0.75,1.5,6.5,"Bài trả lời khá đầy đủ nhiều câu và có ví dụ nghề nghiệp, nhưng hầu như không có dẫn nguồn/link UIT/daa theo yêu cầu. Phần liệt kê học phần CNTT vs nghiệp vụ TMĐT chưa rõ nhóm và còn thiếu nhiều môn quan trọng."
S0131,1.25,1.25,1.5,0.75,1.0,6.0,"Bài trả lời khá đầy đủ nhiều câu và nêu được ý chính, nhưng hầu như không có dẫn nguồn/link theo yêu cầu. Phần liệt kê học phần (đặc biệt Câu 10) còn thiếu và nhóm kỹ năng/nguồn tham khảo chưa cụ thể, chưa rõ độ tin cậy."
S0132,1.25,1.5,1.0,0.75,1.0,5.5,"Bài trả lời khá đầy đủ nhiều ý và có cấu trúc, nhưng hầu như không có dẫn nguồn/link theo yêu cầu rubric. Một số chỗ còn chung chung hoặc chưa chính xác/không khớp (tín chỉ tối thiểu 126 nhưng điều kiện tốt nghiệp ghi 125; liệt kê học phần CNTT chưa bám CTĐT và chưa phân nhóm rõ)."
S0133,1.25,1.0,1.5,1.0,1.25,6.0,"Bài trả lời khá đầy đủ nhiều câu và có cấu trúc, nhưng hầu như không có dẫn nguồn/link theo yêu cầu nên bị trừ điểm ở hầu hết tiêu chí. Một số mục liệt kê học phần còn chung chung, chưa bám sát CTĐT TMĐT/UIT."
S0134,1.0,1.5,1.5,1.0,0.75,6.0,"Bài trả lời khá đầy đủ nội dung các câu, nhưng hầu như không có dẫn nguồn/link theo yêu cầu rubric nên bị trừ điểm ở nhiều tiêu chí. Một số phần liệt kê còn thiếu/nêu chưa đúng trọng tâm (đặc biệt Câu 16–18) và danh sách học phần còn chưa đầy đủ."
S0135,1.25,1.5,1.5,1.0,1.25,6.5,"Bài trả lời khá đầy đủ và đúng trọng tâm nhiều câu, diễn đạt tương đối rõ. Tuy nhiên hầu như không có dẫn nguồn/link theo yêu cầu và một số phần liệt kê học phần, nguồn tham khảo còn thiếu/không đủ uy tín nên bị trừ điểm."
S0136,1.25,1.5,1.5,1.0,1.5,7.0,"Bài trả lời khá đầy đủ và có cấu trúc, nhiều nội dung diễn giải ổn. Tuy nhiên hầu như thiếu dẫn nguồn/link và phần liệt kê học phần (CNTT & nghiệp vụ cốt lõi) còn thiếu/chưa bám sát CTĐT."
S0137,1.25,1.25,1.5,1.25,1.5,7.0,"Bài làm khá đầy đủ nội dung và có cấu trúc, nhưng hầu như thiếu dẫn nguồn/link UIT và CTĐT/daa theo yêu cầu rubric. Một số phần còn thiếu/chưa rõ (đặc biệt chuẩn đầu ra tiếng Anh, liệt kê học phần còn chưa đầy đủ) và có vài nguồn tham khảo chưa thật học thuật."
